GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1062,47019008,396842,18.154,0.153,42.328308,-72.703924
1063,100502,0,0.039,0,42.318882,-72.63853
1066,1839260,121053,0.71,0.047,42.406903,-72.655018
1068,53924061,1033423,20.82,0.399,42.350862,-72.044248
1069,72688933,766584,28.065,0.296,42.187794,-72.308469
1070,53200773,594020,20.541,0.229,42.518446,-72.919017
1071,40349275,803435,15.579,0.31,42.16006,-72.873853
1072,52021996,1342207,20.086,0.518,42.456968,-72.417244
1073,72913676,2077735,28.152,0.802,42.226949,-72.741588
1074,220751,52379,0.085,0.02,42.387603,-72.09323
1075,45888980,1773564,17.718,0.685,42.256208,-72.58103
1077,79825950,2153476,30.821,0.831,42.05257,-72.777353
1079,2921898,108238,1.128,0.042,42.197913,-72.329709
1080,4473457,258220,1.727,0.1,42.185727,-72.361558
1081,37547926,564877,14.497,0.218,42.061313,-72.234411
1082,119411574,16184428,46.105,6.249,42.293533,-72.278599
1083,40871193,156824,15.78,0.061,42.203642,-72.194599
1084,23821016,222861,9.197,0.086,42.39237,-72.882235
1085,155094664,2964556,59.882,1.145,42.153503,-72.771602
1086,96152,0,0.037,0,42.130446,-72.793967
1088,13468907,36980,5.2,0.014,42.391709,-72.646494
1089,43287156,2093467,16.713,0.808,42.125451,-72.649734
1092,17359778,80681,6.703,0.031,42.191868,-72.235108
1093,13063804,16741,5.044,0.006,42.441943,-72.661817
1094,2942290,169907,1.136,0.066,42.359108,-72.1368
1095,58570054,581241,22.614,0.224,42.138499,-72.420715
1096,82059167,532850,31.683,0.206,42.39714,-72.763572
1097,4426152,208868,1.709,0.081,42.178038,-72.832612
1098,81200691,384431,31.352,0.148,42.394315,-72.943115
1103,1191991,205067,0.46,0.079,42.104106,-72.592027
1104,13509553,212850,5.216,0.082,42.134009,-72.565378
1105,3219038,306964,1.243,0.119,42.099958,-72.580765
1106,24090568,1331604,9.301,0.514,42.047565,-72.57113
1107,3903766,89142,1.507,0.034,42.12106,-72.607068
1108,9643250,406406,3.723,0.157,42.080692,-72.560791
1109,14094955,487867,5.442,0.188,42.119674,-72.549726
1118,9312202,260881,3.595,0.101,42.094194,-72.525081
1119,9194300,241735,3.55,0.093,42.124978,-72.51121
1128,2892857,1287,1.117,0,42.092296,-72.489135
1129,8867993,237887,3.424,0.092,42.11869,-72.4882
1151,6134291,464566,2.368,0.179,42.15186,-72.509131
1199,28277,0,0.011,0,42.120563,-72.604468
1201,137058045,6752916,52.918,2.607,42.448236,-73.273727
1220,63703713,189762,24.596,0.073,42.623799,-73.116736
1222,8565487,333232,3.307,0.129,42.058703,-73.322175
1223,180653858,5294144,69.751,2.044,42.312225,-73.110124
1224,720506,82246,0.278,0.032,42.513163,-73.195743
1225,65025459,1821057,25.106,0.703,42.563401,-73.153335
1226,68319659,366609,26.378,0.142,42.481119,-73.135073
1229,1897309,1745,0.733,0.001,42.276338,-73.335896
1230,237040441,4522477,91.522,1.746,42.173192,-73.324283
1235,118213872,2794600,45.643,1.079,42.425676,-73.063012
1236,12437975,157895,4.802,0.061,42.266496,-73.378393
1237,160121630,1140675,61.823,0.44,42.547818,-73.268033
1238,90217718,2706348,34.833,1.045,42.297501,-73.230148
1240,55374238,1159152,21.38,0.448,42.367858,-73.269763
