GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
1119,9194300,241735,3.55,0.093,42.124978,-72.51121
1128,2892857,1287,1.117,0,42.092296,-72.489135
1129,8867993,237887,3.424,0.092,42.119062,-72.487401
1151,6134290,464565,2.368,0.179,42.15186,-72.509131
1199,28277,0,0.011,0,42.120563,-72.604468
1201,137058038,6752914,52.918,2.607,42.448236,-73.273727
1220,63703715,189762,24.596,0.073,42.623799,-73.116736
1222,8565487,333232,3.307,0.129,42.058703,-73.322175
1223,180653858,5294143,69.751,2.044,42.312225,-73.110124
1224,720507,82246,0.278,0.032,42.513356,-73.195594
1225,65025461,1821057,25.106,0.703,42.563363,-73.153566
1226,68319657,366612,26.378,0.142,42.481119,-73.135073
1229,1897309,1745,0.733,0.001,42.276338,-73.335896
1230,237040441,4522478,91.522,1.746,42.173176,-73.324256
1235,118213874,2794600,45.643,1.079,42.427545,-73.063052
1236,12437975,157895,4.802,0.061,42.266496,-73.378393
1237,160121627,1140675,61.823,0.44,42.547818,-73.268033
1238,90217716,2706348,34.833,1.045,42.297501,-73.230148
1240,55374237,1159152,21.38,0.448,42.367858,-73.269763
1242,1288423,24933,0.497,0.01,42.333734,-73.249199
1243,48306684,57277,18.651,0.022,42.350122,-73.024112
1244,6345200,70886,2.45,0.027,42.118094,-73.257497
1245,72467559,2047524,27.98,0.791,42.186893,-73.223105
1247,136040945,1474667,52.526,0.569,42.698437,-73.08409
1253,47310467,1044511,18.267,0.403,42.206683,-73.113214
1254,37713372,147088,14.561,0.057,42.382019,-73.365492
1255,134177283,3047021,51.806,1.176,42.107496,-73.118607
1256,92838292,452294,35.845,0.175,42.594166,-73.02232
1257,93848714,2221955,36.235,0.858,42.085244,-73.367483
1258,66839819,399661,25.807,0.154,42.10928,-73.462886
1259,65593266,2042077,25.326,0.788,42.075469,-73.234376
1260,6503634,101867,2.511,0.039,42.295696,-73.342543
1262,31167344,2127674,12.034,0.821,42.292202,-73.319209
1264,29425420,90081,11.361,0.035,42.23159,-73.202428
1266,67473742,780754,26.052,0.301,42.312342,-73.388056
1267,141293381,342648,54.554,0.132,42.671617,-73.246981
1270,82512101,420825,31.858,0.162,42.515272,-73.031166
1301,66020416,1388437,25.491,0.536,42.626761,-72.60153
1330,86313827,631864,33.326,0.244,42.513947,-72.821517
1331,137849400,3581056,53.224,1.383,42.562408,-72.19108
1337,96405835,165258,37.223,0.064,42.689307,-72.582249
1338,8946607,12299,3.454,0.005,42.572652,-72.824428
1339,142392158,630074,54.978,0.243,42.603776,-72.889644
1340,114430583,658619,44.182,0.254,42.694726,-72.711079
1341,92426100,465171,35.686,0.18,42.496937,-72.709414
1342,46190556,2212148,17.834,0.854,42.543889,-72.609458
1343,12615503,76887,4.871,0.03,42.657625,-72.978931
1344,35313742,1342382,13.635,0.518,42.613418,-72.426427
1346,54379282,99658,20.996,0.038,42.693275,-72.823113
1347,1495232,221070,0.577,0.085,42.559294,-72.518753
1349,19902613,545242,7.684,0.211,42.563061,-72.482122
1350,27768017,274112,10.721,0.106,42.727772,-72.985346
1351,54198083,1126547,20.926,0.435,42.53988,-72.521689
1354,35647717,2665399,13.764,1.029,42.624076,-72.508643
1355,122713702,35676864,47.38,13.775,42.458522,-72.327219
1360,88796652,2812786,34.285,1.086,42.677091,-72.453876
1364,101609096,2848744,39.231,1.1,42.605437,-72.292074
1366,104649744,1453531,40.405,0.561,42.475621,-72.192468
1367,68727445,1770116,26.536,0.683,42.695532,-72.909148
